cid,AreaAc,AreaSqM,AreaSqFt,B1_mean,B2_mean,B3_mean,B4_mean,NDVI,GNDVI
B318-25,0.00011628813,0.47060136037,5.06549062300,27024.49600000000,9169.91200000000,47587.43200000000,44376.60000000000,0.65749731747,0.24302293623
B318-8,0.00015383667,0.62255489959,6.70109836420,25144.33750000000,7956.30625000000,48405.35625000000,44456.56250000000,0.69639874940,0.27747090914
B402-33,0.00006749169,0.27312919021,2.93992637591,28123.24324320000,9457.90540541000,46873.70270270000,36409.35135140000,0.58759663978,0.12840190543
B402-45,0.00007080907,0.28655412519,3.08443059527,26826.44871790000,8353.24358974000,48150.85897440000,38739.91025640000,0.64524594734,0.18170082532
B402-57,0.00005539182,0.22416274137,2.41285801544,29130.79365080000,10769.41269840000,47403.41269840000,35283.17460320000,0.53229934171,0.09551314908
B404-34,0.00007010601,0.28370894504,3.05380545360,30457.27631580000,11031.61842110000,48921.05263160000,39479.09210530000,0.56319686236,0.12900034693
B404-44,0.00007603451,0.30770073463,3.31204989452,30776.16049380000,11607.41975310000,49179.03703700000,39184.06172840000,0.54293832688,0.12018116821
B404-55,0.00006824032,0.27615877035,2.97253637461,30949.78378380000,12738.82432430000,48886.82432430000,38057.12162160000,0.49843145601,0.10299458867
B410-32,0.00005443359,0.22028492633,2.37111772869,27790.45312500000,9908.54687500000,46312.82812500000,32191.39062500000,0.52928448528,0.07337116075
B410-63,0.00009222700,0.37322941693,4.01739193913,29577.30303030000,11115.95959600000,49167.56565660000,37787.50505050000,0.54539173548,0.12187672249
B416-23,0.00012757066,0.51626015213,5.55695580134,25885.10638300000,6707.88652482000,50016.45390070000,44081.56028370000,0.73585510588,0.26007318581
B416-29,0.00008874592,0.35914201557,3.86575701940,25307.12371130000,6942.01030928000,47802.41237110000,41463.40206190000,0.71317214463,0.24196721777
B416-64,0.00014336887,0.58019325018,6.24512318872,27762.83870970000,7930.96774194000,51213.41935480000,44108.04516130000,0.69519146120,0.22742459215
B417-22,0.00008279918,0.33507640335,3.60671796149,30020.01075270000,11608.60215050000,46795.34408599990,39723.33333330000,0.54770448295,0.13912901235
B417-23,0.00004822810,0.19517217885,2.10080744568,23766.59615380000,7487.88461538000,38612.53846150000,33163.11538460000,0.63160145554,0.16505474869
B417-61,0.00005076645,0.20544451896,2.21137755213,29214.62711860000,10487.50847460000,46306.98305080000,38237.86440680000,0.56952577869,0.13377174192
B418-18,0.00006939333,0.28082483010,3.02276122289,25503.16216220000,9185.47297297000,42501.62162160000,37778.27027030000,0.60882705089,0.19397645781
B418-20,0.00001704725,0.06898779251,0.74257544815,28062.33333330000,12072.00000000000,42832.83333330000,34596.00000000000,0.48264335305,0.10427450459
B418-62,0.00005965469,0.24141395395,2.59854777940,28394.50000000000,11545.78125000000,45143.48437500000,39399.21875000000,0.54673545000,0.16232652454
