ID,CanopyArea,_B1mean,_B2mean,_B3mean,_B4mean,NDVI,GNDVI
B311-10,0.1118,32935.43333,15374.9,40068.8,34142.03333,0.379004354,0.017988157
B311-19,0.1454,31749.17949,13005.89744,47682.17949,38256.76923,0.492578195,0.092957668
B311-27,0.1456,35253.12195,16789.63415,41146.04878,32842.04878,0.323430794,-0.035407
B316-21,0.3418,29014.97701,8447.183908,50315.08046,44820.09195,0.682837773,0.214060
B316-24,0.4763,29581.17073,9992.707317,47202.30894,42044.3252,0.615938618,0.174004442
B316-7,0.4931,29025.02362,9169.566929,49758.17323,42959.59843,0.648198207,0.193577106
B318-16,0.3811,23486.27184,6765.087379,46920.94175,44482.26214,0.735982936,0.308907506
B318-25,0.4738,27024.496,9169.912,47587.432,44376.6,0.657497317,0.243022936
B318-8,0.6268,25144.3375,7956.30625,48405.35625,44456.5625,0.696398749,0.277470909
B402-33,0.275,28123.24324,9457.905405,46873.7027,36409.35135,0.58759664,0.128401905
B402-45,0.2885,26826.44872,8353.24359,48150.85897,38739.91026,0.645245947,0.181700825
B402-57,0.2257,29130.79365,10769.4127,47403.4127,35283.1746,0.532299342,0.095513149
B404-34,0.2856,30457.27632,11031.61842,48921.05263,39479.09211,0.563196862,0.129000
B404-44,0.3098,30776.16049,11607.41975,49179.03704,39184.06173,0.542938327,0.120181168
B404-55,0.278,30949.78378,12738.82432,48886.82432,38057.12162,0.498431456,0.102994589
B410-10,0.0752,27255,11595.54545,43222.68182,30902.09091,0.454296923,0.062711027
B410-32,0.2218,27790.45313,9908.546875,46312.82813,32191.39063,0.529284485,0.073371161
B410-63,0.3758,29577.30303,11115.9596,49167.56566,37787.50505,0.545391735,0.121876722
B416-23,0.5198,25885.10638,6707.886525,50016.4539,44081.56028,0.735855106,0.260073186
B416-29,0.3616,25307.12371,6942.010309,47802.41237,41463.40206,0.713172145,0.241967218
B416-64,0.5842,27762.83871,7930.967742,51213.41935,44108.04516,0.695191461,0.227424592
B417-22,0.3374,30020.01075,11608.60215,46795.34409,39723.33333,0.547704483,0.139129012
B417-23,0.1965,23766.59615,7487.884615,38612.53846,33163.11538,0.631601456,0.165054749
B417-61,0.2068,29214.62712,10487.50847,46306.98305,38237.86441,0.569525779,0.133771742
B418-18,0.2827,25503.16216,9185.472973,42501.62162,37778.27027,0.608827051,0.193976458
B418-20,0.0695,28062.33333,12072,42832.83333,34596,0.482643353,0.104274505
B418-62,0.2431,28394.5,11545.78125,45143.48438,39399.21875,0.54673545,0.162326525
